Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
world_link,"-0,379999991843833","-0,241999995946268","0,282642145469613",0,0,0,"56,5143635061382","3,10383758638064","9,38103874984871E-07","-4,57009880018058E-07","3,00109559506483","3,89931023770341E-08","0,915005919197952",0,0,0,0,0,0,package://full_station/meshes/world_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://full_station/meshes/world_link.STL,,sockel-1,world,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
scara_link_base,"4,11981024295294E-09","-0,00144952651535979","0,0824742549468586",0,0,0,"10,0938987184175","0,0864487528577416","-7,67600083955327E-08","-3,5428860438845E-09","0,0762174394798054","0,000783155397267453","0,100368960083761",0,0,0,0,0,0,package://full_station/meshes/scara_link_base.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://full_station/meshes/scara_link_base.STL,,scara_4_linear-1/base_scara-1,base_Scara,Axis_scara_joint_base,scara_joint_base,fixed,"-0,38","-0,242","0,650000000000001",0,0,0,world_link,0,0,0,,,,,,,,,,,,
scara_link_1,"0,0554575444613901","0,165564551542507","0,0275000000000012",0,0,0,"3,3230838247481","0,0576270026353463","-0,0171642772796708","-2,70417399982433E-18","0,0119905480517804","-7,48561635465443E-18","0,0679421595859383",0,0,0,0,0,0,package://full_station/meshes/scara_link_1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://full_station/meshes/scara_link_1.STL,,scara_4_linear-1/link2_scara-1,scara_link1,link_1_achse,scara_joint_1,revolute,0,"0,0620000000000001","0,185999999999999",0,0,0,scara_link_base,0,0,-1,0,0,0,0,,,,,,,,
scara_link_2,"0,084623793875894","0,153636740232548","0,109919168493605",0,0,0,"17,9237237949378","0,486676041203974","-0,20205161891764","0,0238411475845364","0,231136918692326","0,0432842419779889","0,538887927908261",0,0,0,0,0,0,package://full_station/meshes/scara_link_2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://full_station/meshes/scara_link_2.STL,,scara_4_linear-1/link3_scara-1,scara_link2,link2_achse,scara_joint_2,revolute,"0,110915088922781","0,331544853874781","0,0550000000000013",0,0,0,scara_link_1,0,0,-1,0,0,0,0,,,,,,,,
scara_link_3,"-5,48198860028659E-07","3,08047934466371E-07","-0,191819389863616",0,0,0,"1,09878914470562","0,0202026345558292","1,46163302702154E-08","-2,9902926720251E-09","0,0202026586253473","5,4617905886984E-09","0,000398979796591897",0,0,0,0,0,0,package://full_station/meshes/scara_link_3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://full_station/meshes/scara_link_3.STL,,scara_4_linear-1/spindel_Scara-1,scara_link3,Achse5,scara_joint_3,prismatic,"0,217106821845328","0,394163199586445",0,"3,14159265358979",0,"-3,14159265358979",scara_link_2,0,0,-1,0,0,0,0,,,,,,,,
boxes,"0,360011118600684","0,27521364223783","0,278912194799361",0,0,0,"99,0267308175771","3,36896676113991","7,18898882228331E-11","-1,42061685293219E-06","3,36911900381237","-6,30751709577342E-09","0,678298179608551",0,0,0,0,0,0,package://full_station/meshes/boxes.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://full_station/meshes/boxes.STL,,box-1;box-2;sockel_box-2;sockel_box-1;sockel_box-4;box-3;box-4;sockel_box-3,boxes,Axis_boxes,boxes,fixed,"-0,719999999999999",0,0,0,0,0,world_link,0,0,0,,,,,,,,,,,,
knickarm_sockel,"0,170000000008435","0,170000000008423","0,222253510440883",0,0,0,"33,1902670854663","0,969242711259421","1,13981229226797E-16","3,18871186988929E-11","0,96924271125942","3,18429907094299E-11","0,397801462826718",0,0,0,0,0,0,package://full_station/meshes/knickarm_sockel.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://full_station/meshes/knickarm_sockel.STL,,sockel_knickarm-1,knick_sockel,Axis_knickarm_sockel,knickarm_sockel,fixed,"-0,545000000000015","2,693","-0,0199999999999988",0,0,0,world_link,0,0,0,,,,,,,,,,,,
knick_base_link,"5,55111512312578E-17",0,"0,0831886098900351",0,0,0,"6,13619139503562","0,0358502952817987","1,65606190844546E-17","-3,68720774113041E-19","0,0358502952817986","-2,56092993185703E-17","0,0367184665537518",0,0,0,0,0,0,package://full_station/meshes/knick_base_link.STL,"0,501960784313725","0,501960784313725","0,501960784313725",1,0,0,0,0,0,0,package://full_station/meshes/knick_base_link.STL,,Knickarmroboter-1/Grundbasis-1,knick_base,,knick_base_joint,fixed,"0,17","0,17","0,5",0,0,0,knickarm_sockel,0,0,0,,,,,,,,,,,,
knick_link1,"2,39423167756603E-05","0,00102403641797855","0,0522188072773566",0,0,0,"1,51482515033565","0,00708081683843717","-3,18073734412142E-05","-4,8955229667811E-07","0,00592760506272545","-3,16730446962943E-05","0,0078063707821689",0,0,0,0,0,0,package://full_station/meshes/knick_link1.STL,"0,501960784313725","0,501960784313725","0,501960784313725",1,0,0,0,0,0,0,package://full_station/meshes/knick_link1.STL,,Knickarmroboter-1/Basis-1,knick_link1,,knick_joint1,revolute,0,0,"0,18",0,0,0,knick_base_link,0,0,1,0,0,0,0,,,,,,,,
knick_link2,"-0,000580010533334285","0,124434477958655","0,0617606410401219",0,0,0,"2,94963527631575","0,0344799903914058","0,000133040596631677","5,49706087176697E-06","0,00576942266119528","-0,0011771812595786","0,0330918819874674",0,0,0,0,0,0,package://full_station/meshes/knick_link2.STL,"0,501960784313725","0,501960784313725","0,501960784313725",1,0,0,0,0,0,0,package://full_station/meshes/knick_link2.STL,,Knickarmroboter-1/Arm1-1,knick_link2,knick_achse_l2,knick_joint2,revolute,"-0,00165","-0,059977","0,13","1,5708",0,"3,1141",knick_link1,0,0,1,0,0,0,0,,,,,,,,
